,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
1090,Prado,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,19000,143000
1091,Yukon,GMC,Automatic,Saudi,Standard,2017,5.3,39000,142000
1094,Pajero,Mitsubishi,Automatic,Saudi,Full,2015,3.8,54000,70000
1097,GS,Geely,Automatic,Saudi,Semi Full,2020,1.8,8400,58500
1098,Sonata,Hyundai,Automatic,Saudi,Standard,2017,2.4,173000,44000
1100,Camry,Toyota,Automatic,Saudi,Full,2017,2.5,95794,74500
1101,Patrol,Nissan,Automatic,Saudi,Semi Full,2015,4.8,247000,75000
1103,Charger,Dodge,Automatic,Other,Semi Full,2018,3.6,89000,109000
1104,Ciocca,Toyota,Automatic,Saudi,Standard,2012,5.7,376000,65000
1105,X-Terra,Nissan,Automatic,Saudi,Full,2014,4.0,133000,80000
1107,Sonata,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,96400,49000
1109,Fusion,Ford,Automatic,Saudi,Full,2015,2.5,200000,49000
1112,Civic,Honda,Automatic,Saudi,Semi Full,2019,1.6,41000,67000
1114,Sonata,Hyundai,Automatic,Saudi,Full,2019,2.4,90000,61000
1116,Vego,Ford,Automatic,Saudi,Full,2017,1.4,93000,26000
1120,6,Mazda,Automatic,Saudi,Full,2016,2.5,117000,72000
1121,Edge,Ford,Automatic,Gulf Arabic,Full,2007,3.5,372400,19000
1122,Picanto,Kia,Automatic,Saudi,Standard,2015,1.0,136000,18500
